Data;Salário mínimo real - R$ - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12;
1998.05;461,80955741643;
1998.06;461,118014947521;
1998.07;462,412040497384;
1998.08;464,688594664354;
1998.09;466,133634713517;
1998.10;465,620159281863;
1998.11;466,459528558601;
1998.12;464,507801728257;
1999.01;461,508904230357;
1999.02;455,631896089984;
1999.03;449,872944100693;
1999.04;447,768368830724;
1999.05;468,200474815697;
1999.06;467,87432063878;
1999.07;464,437546887945;
1999.08;461,897413938521;
1999.09;460,10337674088;
1999.10;455,729714505185;
1999.11;451,487088427781;
1999.12;448,170318844229;
2000.01;445,453098408249;
2000.02;445,230238142886;
2000.03;444,651843709403;
2000.04;493,250711361821;
2000.05;493,497065727699;
2000.06;492,019557193275;
2000.07;485,274639327153;
2000.08;479,472925676782;
2000.09;477,419737875219;
2000.10;476,656833599662;
2000.11;475,278301546454;
2000.12;472,677828871441;
2001.01;469,065126187551;
2001.02;466,777206294842;
2001.03;464,546985742663;
2001.04;549,152791295378;
2001.05;546,040506475821;
2001.06;542,785023041475;
2001.07;536,826129313439;
2001.08;532,61742993771;
2001.09;530,285437723702;
2001.10;525,348067037611;
2001.11;518,656729562518;
2001.12;514,847994754672;
2002.01;509,398306825677;
2002.02;507,825234032692;
2002.03;504,697243185628;
2002.04;556,985918040549;
2002.05;556,48559583289;
2002.06;553,110603947424;
2002.07;546,821612305121;
2002.08;542,157918720742;
2002.09;537,694579256863;
2002.10;529,383330299537;
2002.11;512,026839335668;
2002.12;498,565217598347;
2003.01;486,547326938806;
2003.02;479,545267169279;
2003.03;473,064427947243;
2003.04;559,950439227886;
2003.05;554,461940403898;
2003.06;554,794927049846;
2003.07;554,572075551651;
2003.08;553,575114009385;
2003.09;549,07279211244;
2003.10;546,94063767914;
2003.11;544,924227309397;
2003.12;541,997471991303;
2004.01;537,535843099;
2004.02;535,4465370207;
2004.03;532,412787741126;
2004.04;530,239931122675;
2004.05;572,137491540243;
2004.06;569,292119792538;
2004.07;565,167071524966;
2004.08;562,35558548769;
2004.09;561,402243854149;
2004.10;560,449821290333;
